OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.43010883,43.760573,-111.844891
67570,PETRO-CANADA,"HWY-401, EXIT 328 & HWY-3",Hornby,ON,970,3.4296031,43.760573,-111.844891
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.37379182,44.5914142,-75.713632
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.40219907,44.5914142,-75.713632
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.36609929,44.5914142,-75.713632
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.53471126,44.5914142,-75.713632
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.45216443,44.5914142,-75.713632
67571,PETRO-CANADA,"HWY 401, EXIT 14",Windsor,ON,620,3.31114588,44.5914142,-75.713632
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45390331,43.28683,-80.44945
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.46276974,43.28683,-80.44945
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45292033,43.28683,-80.44945
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45193778,43.28683,-80.44945
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.46211176,43.28683,-80.44945
67603,FLYING J #862,"HWY 401, EXIT 268",Ayr,ON,200,4.45521463,43.28683,-80.44945
67612,FLYING J TRAVEL PLAZA #914- TOWN PUMP,"I-90, EXIT 96 & US-93/SR-200",Missoula,MT,820,3.609,30.208407,-91.825362
67613,KWIK STAR #490,"US-20, EXIT 225 & SR-27/SR-58",Cedar Falls,IA,565,3.524,30.208407,-91.825362
67614,KWIK TRIP #622,US-14 & CR-5,Byron,MN,515,3.574,41.982154,-87.66003
67615,KWIK TRIP #844,US-63,Lake City,MN,515,3.549,44.420281,-92.302524
67616,KWIK TRIP #887,"US-41, EXIT 139 & SR-15",Appleton,WI,582,3.30233333,30.208407,-91.825362
67617,Twice Daily Convenience Store #8046,"I-24, EXIT 31 & SR-249",Joelton,TN,460,3.349,30.208407,-91.825362
67618,7-ELEVEN #40441,I-80 MM 21E,West Unity,OH,550,3.66233333,41.589078,-84.432952
67619,7-ELEVEN #40442,"I-80, MM 21W",West Unity,OH,550,3.66233333,41.589078,-84.432952
67620,LOVES TRAVEL STOP #452,"I-35, EXIT 70",Pauls Valley,OK,253,3.649,34.734768,-97.237316
67621,FLYING J TRAVEL PLAZA #925- TOWN PUMP,"I-15, EXIT 277",Great Falls,MT,815,3.63566666,47.501115,-111.300389
67622,LOVES TRAVEL STOP #454,"I-5/US-12, EXIT 72",Chehalis,WA,977,4.589,46.66986,-122.973954
67623,LOVES TRAVEL STOP #301,"I-90, EXIT 2",Post Falls,ID,970,3.74566666,47.716651,-116.947057
67624,LOVES TRAVEL STOP #300,I-70 EXIT 304,Bennett,CO,800,3.32566666,39.75887,-104.42746
67625,LOVES TRAVEL STOP #453,"I-10, EXIT 130 & US-231",Cottondale,FL,20,3.553,30.208407,-91.825362
67625,LOVES TRAVEL STOPS #453,"I-10, EXIT 130 & US-231",Cottondale,FL,20,3.589,30.208407,-91.825362
67626,KWIK TRIP #316,SR-15 N/SR-22 E,Hutchinson,MN,451,3.279,44.886077,-94.377482
67627,PILOT #4556,"I-75, EXIT 329",Wildwood,FL,225,3.22566666,28.73907,-82.001155
67627,PILOT TRAVEL CENTER #4556,"I-75, EXIT 329",Wildwood,FL,225,3.319,28.73907,-82.001155
67628,LOVES TRAVEL STOP #394,"I-65,EXIT 230",Demotte,IN,365,3.51233333,41.20126,-87.201178
67629,KWIK TRIP #681,"I-94, EXIT 205",Saint Michael,MN,451,3.29733333,45.19489,-93.725979
67630,KWIK TRIP #630,US-151/SR-32/SR-57,Chilton,WI,582,3.36566666,44.029563,-88.164534
67634,54 TRUCK STOP,US-54,Mullinville                             ,KS,357,3.46566666,37.581997,-99.475682
